NUM	B/D	DAY	MON	YEA	H	MN	SEC	Ci	TZ	LAT	LON
1	B	23	04	1899	05	50	40		0	48N50	2E20
2	D	31	12	1899	03	50	40	07	0	48N50	2E20
3	B	19	12	1893	21	20	40		0	48N50	2E20
4	D	04	01	1900	04	50	40	03	0	48N50	2E20
5	B	24	04	1872	06	50	40		0	48N50	2E20
6	D	18	01	1900	21	50	40	06	0	48N50	2E20
7	B	15	01	1900	15	20	40		0	48N50	2E20
8	D	19	01	1900	0	50	40	17	0	48N50	2E20
9	B	01	09	1898	07	20	40		0	48N50	2E20
10	D	27	01	1900	22	50	40	08	0	48N50	2E20
11	B	03	07	1860	22	50	40		0	48N50	2E20
12	D	30	01	1900	02	50	40	02	0	48N50	2E20
13	B	24	01	1900	21	50	40		0	48N50	2E20
14	D	30	01	1900	21	50	40	02	0	48N50	2E20
15	B	25	01	1900	0	50	40		0	48N50	2E20
16	D	02	02	1900	18	50	40	02	0	48N50	2E20
17	B	24	12	1899	21	50	40		0	48N50	2E20
18	D	06	02	1900	18	50	40	01	0	48N50	2E20
19	B	03	09	1899	12	20	40		0	48N50	2E20
20	D	08	02	1900	13	50	40	07	0	48N50	2E20
21	B	23	07	1898	03	50	40		0	48N50	2E20
22	D	14	02	1900	22	50	40	06	0	48N50	2E20
23	B	16	08	1899	0	50	40		0	48N50	2E20
24	D	19	02	1900	05	20	40	01	0	48N50	2E20
25	B	23	10	1861	03	20	40		0	48N50	2E20
26	D	20	02	1900	02	50	40	04	0	48N50	2E20
27	B	07	07	1899	22	20	40		0	48N50	2E20
28	D	24	02	1900	06	50	40	08	0	48N50	2E20
29	B	16	01	1899	01	50	40		0	48N50	2E20
30	D	28	02	1900	01	50	40	02	0	48N50	2E20
31	B	13	10	1899	11	50	40		0	48N50	2E20
32	D	01	03	1900	09	50	40	10	0	48N50	2E20
33	B	08	01	1900	20	50	40		0	48N50	2E20
34	D	03	03	1900	12	50	40	06	0	48N50	2E20
35	B	01	08	1891	04	50	40		0	48N50	2E20
