PRO	NUM	COU	DAY	MON	YEA	H	MN	SEC	TZ	LAT	LON	COD	CITY
S	1	F	15	12	1873	15	59	40	0	43N14	0E 5	65	TARBES
S	2	F	12	8	1876	22	57	36	0	44N50	0W34	33	BLAYES
S	3	F	10	3	1864	6	44	28	0	43N37	3E53	34	BEDARIEUX
S	4	F	24	7	1860	9	20	40	0	48N50	2E20	75	PARIS 9E
S	5	F	12	6	1890	10	16	40	0	46N34	3E20	03	VERNEIX
S	6	F	23	1	1810	9	44	28	0	43N37	3E53	34	ST-CHINIAN
S	7	F	28	8	1843	6	5	12	0	48N42	6E12	54	VAXAINVILLE
S	8	F	26	8	1866	20	57	28	0	44N12	0E38	47	ST-SARDOS
S	9	F	16	2	1876	13	38	32	0	43N18	5E22	13	MARSEILLE
S	10	F	21	9	1873	10	35	12	0	48N42	6E12	54	NANCY
S	11	F	30	3	1839	1	6	20	0	47N13	1W35	44	NANTES
S	12	F	19	5	1875	6	54	16	0	43N37	1E26	31	TOULOUSE
S	13	F	28	2	1876	2	54	16	0	43N37	1E26	31	TOULOUSE
S	14	F	3	1	1846	10	16	40	0	46N34	3E20	03	CUSSET
S	15	F	30	4	1842	12	57	36	0	44N50	0W34	33	ST-CIERS
S	16	F	3	7	1874	0	17	24	0	46N59	3E 9	58	FOURCHAMBAULT
S	17	F	16	9	1830	0	35	16	0	49N 7	6E11	57	SALONNES
S	18	F	12	11	1852	13	57	36	0	44N50	0W34	33	BORDEAUX
S	19	F	8	6	1851	9	55	0	0	45N50	1E15	87	LA PORCHERIE
S	20	F	9	1	1862	8	2	8	0	47N28	0W32	49	ANGERS
S	21	F	29	1	1875	7	49	44	0	44N21	2E34	12	ST-LAURENT-DOLT
S	22	F	1	7	1838	2	16	24	0	48N 0	4W 6	29	BREST
S	23	F	1	6	1868	7	1	28	0	49N11	0W22	14	BERNIERES-S-MER
S	24	F	28	5	1822	9	57	36	0	44N50	0W34	33	BORDEAUX
S	25	F	17	11	1857	4	50	40	0	48N50	2E20	75	PARIS
S	26	F	25	3	1809	21	6	40	0	48N 7	1W40	35	MONTBAZON
S	27	F	7	9	1834	9	50	48	0	49N54	2E18	80	AMIENS
S	28	F	10	9	1820	9	51	28	0	48N50	2E 8	78	VERSAILLES
S	29	F	29	7	1890	4	40	40	0	45N46	4E50	69	LYON 6E
S	30	F	16	1	1845	3	39	8	0	46N12	5E13	01	ST-JULIEN-S/REY
S	31	F	29	3	1853	4	55	0	0	45N50	1E15	87	AMBAZAC
S	32	F	1	1	1872	8	50	40	0	48N50	2E20	75	PARIS 11E
S	33	F	4	4	1849	23	6	20	0	47N13	1W35	44	CHATEAUBRIAND
S	34	F	1	9	1814	2	34	8	0	43N32	6E28	83	TOULON
S	35	F	16	6	1867	15	57	36	0	44N50	0W34	33	BORDEAUX
S	36	F	10	5	1857	0	37	8	0	45N11	5E43	38	MENS
S	37	F	18	3	1870	0	54	16	0	43N37	1E26	31	ISLE-EN-DODON
S	38	F	4	6	1814	20	55	0	0	45N50	1E15	87	LIMOGES
S	39	F	17	1	1832	21	54	40	0	47N35	1E20	41	BLOIS
S	40	F	25	3	1853	1	35	52	0	47N15	6E 2	25	BAUME-LES-DAMES
S	41	F	24	9	1806	1	5	16	0	49N 7	6E11	57	SARREGUEMINES
S	42	F	4	12	1857	17	58	40	0	46N35	0E20	86	COUHE-VERAC
S	43	F	6	8	1811	6	50	36	0	43N12	2E21	11	NARBONNE
S	44	F	13	9	1876	5	29	0	0	37N 0	7E45	ALG	BONE
S	45	F	7	5	1806	20	45	32	0	49N34	3E37	02	COMPIEGNE
S	46	F	23	6	1854	0	44	28	0	43N37	3E53	34	LODEVE
S	47	F	9	5	1875	18	55	16	0	49N 1	1E11	27	FLEURY-S/ANDELL
S	48	F	28	3	1853	1	53	40	0	42N58	1E35	09	STE-CROIX
S	49	F	21	2	1883	11	35	40	0	48N50	2E20	75	PARIS 1ER
S	50	F	8	5	1806	9	39	8	0	46N12	5E13	01	COLLONGES
S	51	F	15	10	1816	6	35	16	0	49N 7	6E11	57	BASSING
S	52	F	17	3	1856	10	50	40	0	48N50	2E20	75	PARIS
S	53	F	23	6	1867	6	4	40	0	46N 9	1W10	17	REAUX
S	54	F	30	3	1859	12	48	56	0	50N18	2E46	62	LENS
S	55	F	26	8	1813	2	50	40	0	48N50	2E20	75	PARIS
S	56	F	4	2	1850	8	43	40	0	48N18	4E 5	10	NOGENT-S
S	57	F	9	5	1832	19	30	56	0	43N42	7E16	06	ST-PAUL-DE-VAR
S	58	F	17	2	1870	18	37	48	0	46N40	5E33	39	MOREZ
S	59	F	6	1	1845	14	32	32	0	47N38	6E52	90	BEAUCOURT
S	60	F	27	8	1817	18	49	20	0	48N33	2E40	77	MORET
S	61	F	7	10	1857	0	57	28	0	44N12	0E38	47	CASSENEUIL
S	62	F	12	7	1813	3	10	40	0	45N46	4E50	69	CHATENAY
S	63	F	19	5	1872	4	50	40	0	48N50	2E20	75	PARIS 2E
S	64	F	21	1	1819	2	41	4	0	49N46	4E44	08	SEDAN
S	65	F	9	2	1815	23	41	4	0	49N46	4E44	08	BAZEILLE
