PRO	NUM	COU	DAY	MON	YEA	H	MN	SEC	TZ	LAT	LON	COD	CITY
C	1	F	17	9	1937	17	0	0	0	44N50	0W34	33	BORDEAUX
C	2	F	13	8	1889	12	20	40	0	48N50	2E20	75	PARIS 8E
C	3	F	16	11	1926	6	0	0	0	43N18	5E22	13	MARSEILLE
C	4	F	17	12	1905	15	50	40	0	43N42	7E16	06	NICE
C	5	F	29	8	1937	3	30	0	0	48N 0	4W 6	29	BREST
C	6	F	17	4	1923	1	0	0	0	45N46	4E50	69	VENNISSIEUX
C	7	F	12	4	1904	22	50	40	0	47N 5	2E23	18	SAULZAISLEPOTIE
C	8	F	14	5	1933	10	0	0	0	43N37	3E53	34	SETE
C	9	F	11	12	1913	11	0	0	0	46N59	3E 9	58	COSNE
C	10	F	24	7	1900	1	50	40	0	48N50	2E11	92	BOULOGNE-BILLANC
C	11	F	31	12	1931	23	0	0	0	50N39	3E 5	59	SEPMERIES
C	12	F	2	8	1920	5	0	0	0	46N19	0W27	79	COURLAY
C	13	F	6	3	1942	17	0	0	0	43N12	2E21	11	ESPERAZA
C	14	F	14	3	1916	5	0	0	0	44N56	4E54	26	CREST
C	15	F	25	12	1935	16	30	0	0	45N34	5E55	73	AIX-LES-BAINS
C	16	F	14	1	1930	1	0	0	0	43N42	7E16	06	BEAUSOLEIL
C	17	F	21	12	1888	0	38	32	0	43N18	5E22	13	MARSEILLE
C	18	F	15	2	1916	7	0	0	-1	49N 7	6E11	57	REDING
C	19	F	29	7	1918	0	0	0	0	44N12	0E38	47	AGEN
C	20	F	2	9	1938	10	0	0	0	43N18	0W22	64	AGNOS
C	21	F	30	6	1918	19	0	0	0	44N56	2E26	15	PAULHAC
C	22	F	4	9	1936	4	0	0	0	48N42	6E12	54	NANCY
C	23	F	8	12	1925	7	50	0	0	49N26	1E 5	76	LE HAVRE
C	24	F	5	7	1933	18	20	0	0	48N27	1E30	28	CHARTRES
C	25	F	18	2	1929	23	30	0	0	48N 7	5E 8	52	LIFFELLEPETIT
C	26	F	5	10	1923	8	0	0	0	43N37	3E53	34	AIGUESVIVES
C	27	F	28	5	1920	21	0	0	0	43N42	7E16	06	CANNES
C	28	F	20	5	1924	5	0	0	0	43N37	1E26	31	TOULOUSE
C	29	F	20	2	1930	10	30	0	0	48N33	2E40	77	VENDREST
C	30	F	28	6	1901	14	50	40	0	50N39	3E 5	59	SARSPETERIES
C	31	F	2	1	1935	1	10	0	0	50N39	3E 5	59	TOURCOING
C	32	F	27	2	1905	9	50	40	0	43N37	3E53	34	ASPIRAN
C	33	F	11	12	1911	16	0	0	0	43N18	0W22	64	ANGLET
C	34	F	1	5	1905	0	50	40	0	43N18	0W22	64	ANGLET
C	35	F	20	6	1940	5	45	0	0	50N39	3E 5	59	SECLIN
C	36	F	27	10	1928	9	45	0	0	36N47	3E 0	ALG	ALGER
C	37	F	18	1	1933	3	0	0	0	49N26	2E 5	60	LASSIGNY
C	38	F	27	4	1917	14	30	0	0	46N35	0E20	86	CHATTELLERAULT
C	39	F	21	1	1939	8	0	0	0	45N11	5E43	38	LACOTESTANDRE
C	40	F	13	1	1934	10	0	0	0	48N47	2E29	94	ST-MAURICE
C	41	F	1	10	1899	1	50	40	0	45N50	1E15	87	LEDORAT
C	42	F	9	7	1932	15	5	0	0	48N35	7E45	67	HAGENAU
C	43	F	31	7	1925	5	30	0	0	48N35	7E45	67	EBERSHEIM
C	44	F	7	9	1921	0	0	0	0	45N16	1E46	19	ST-EMILION
C	45	F	2	3	1931	14	20	0	0	48N47	2E29	94	VITRY-S-SEINE
C	46	F	13	6	1936	0	15	0	0	50N39	3E 5	59	OIGNES
C	47	F	21	2	1917	15	0	0	0	43N18	0W22	64	ALDUDES
C	48	F	15	12	1913	21	45	0	0	50N39	3E 5	59	ROUBAIX
C	49	F	10	12	1906	4	50	40	0	44N50	0W34	33	BORDEAUX
C	50	F	12	1	1937	4	0	0	0	45N11	0E44	24	LABACHEILERIE
C	51	F	28	8	1914	10	0	0	0	43N14	0E 5	65	GERDE
C	52	F	18	2	1920	9	0	0	0	50N39	3E 5	59	THUMERIES
C	53	F	8	9	1936	10	0	0	0	48N31	2W45	22	BELLE-ILE-EN-T
C	54	F	21	2	1901	22	50	40	0	44N50	0W34	33	LIBOURNE
C	55	F	27	5	1923	15	30	0	0	49N26	1E 5	76	PIERRECOURT
C	56	F	3	4	1932	15	0	0	0	49N54	2E18	80	AMIENS
C	57	F	31	3	1920	1	0	0	0	43N42	7E16	06	LABRIGUE
C	58	F	10	11	1901	0	50	40	0	48N33	2E40	77	TOURNANENBRIE
C	59	F	11	4	1917	13	20	0	0	48N50	2E11	92	LEVALLOIS-PERRET
C	60	F	14	10	1925	6	30	0	0	43N42	7E16	06	CAPDAIL
C	61	F	2	7	1906	17	50	40	0	43N42	7E16	06	NICE
C	62	F	5	3	1888	16	1	28	0	43N18	0W22	64	BIZANOS
C	63	F	1	12	1908	1	50	40	0	48N50	2E11	92	MONTROUGE
C	64	F	27	1	1903	10	50	40	0	50N18	2E46	62	NORRENTFONTES
C	65	F	22	4	1910	9	50	40	0	44N50	0W34	33	FACTUREBIGAN
C	66	F	29	8	1901	0	50	40	0	45N47	3E 5	63	CLERMONT-FERRAND
C	67	F	13	3	1939	10	0	0	0	42N58	1E35	09	SIGUER
C	68	F	22	5	1902	22	50	40	0	43N37	3E53	34	LUNEL
C	69	F	20	4	1913	12	0	0	0	49N 1	1E11	27	EVREUX
C	70	F	26	6	1931	22	0	0	0	49N 0	2E 0	95	ARGENTEUIL
C	71	F	2	4	1901	11	35	40	0	43N14	0E 5	65	TARBES
C	72	F	23	12	1912	12	0	0	0	44N50	0W34	33	BORDEAUX
C	73	F	14	5	1935	4	0	0	0	46N19	0W27	79	MELLE
