PRO	NUM	COU	DAY	MON	YEA	H	MN	SEC	TZ	LAT	LON	COD	CITY
M	1	F	13	10	1849	21	57	36	0	44N50	0W34	33	LE TOURNE
M	2	F	7	2	1835	21	38	32	0	43N18	5E22	13	AIX-EN-PROV
M	3	F	10	1	1854	18	34	8	0	48N10	6E28	88	POITIERS
M	4	F	26	3	1848	3	52	24	0	47N54	1E54	45	MALESHERBES
M	5	F	21	3	1814	1	35	16	0	49N 7	6E11	57	THIONVILLE
M	6	F	12	1	1824	0	35	12	0	48N42	6E12	54	NANCY
M	7	F	17	12	1879	12	51	28	0	43N55	2E 8	81	REALMONT
M	8	F	23	11	1812	22	5	12	0	48N42	6E12	54	NANCY
M	9	F	18	12	1811	8	35	12	0	48N42	6E12	54	LONGWY
M	10	F	20	7	1868	11	44	28	0	43N37	3E53	34	MONTPELLIER
M	11	F	23	9	1829	21	30	36	0	48N 5	7E21	68	COLMAR
M	12	F	20	12	1809	0	57	4	0	45N11	0E44	24	BUSSIERES-BADIL
M	13	F	17	2	1847	14	35	16	0	49N 7	6E11	57	KNUTANGE
M	14	F	13	2	1815	3	49	44	0	44N21	2E34	12	LA BASTIDE-L'EV
M	15	F	10	3	1816	18	35	16	0	49N 7	6E11	57	METZ
M	16	F	13	2	1876	11	2	8	0	47N28	0W32	49	ST-MATHURIN
M	17	F	3	5	1872	7	34	40	0	46N 9	1W10	17	LA ROCHELLE
M	18	F	10	11	1825	19	37	8	0	45N11	5E43	38	GRENOBLE
M	19	F	15	11	1864	16	30	36	0	48N 5	7E21	68	GUEBWILLER
M	20	F	30	7	1875	20	57	36	0	44N50	0W34	33	BORDEAUX
M	21	F	14	6	1844	20	35	16	0	49N 7	6E11	57	SAINT-AVOLD
M	22	F	14	8	1850	6	36	0	0	44N33	6E 0	05	GUILLESTRE
M	23	F	8	2	1804	22	24	16	0	44N27	1E26	46	LA GREZETTE-CAI
M	24	F	5	3	1841	22	53	40	0	42N58	1E35	09	MAS D AZIL
M	25	F	8	11	1810	3	3	56	0	50N18	2E46	62	SAINT-OMER
M	26	F	11	11	1824	21	35	52	0	47N15	6E 2	25	BESANCON
M	27	F	1	1	1835	4	29	0	0	48N35	7E45	67	WASSELONNE
M	28	F	25	10	1918	23	45	0	-1	48N35	7E45	67	DETTWILLER
M	29	F	1	8	1909	17	5	40	0	49N26	2E 5	60	BEAUVAIS
M	30	F	10	11	1821	3	22	24	0	47N54	1E54	45	ORLEANS
M	31	F	28	3	1838	21	39	52	0	47N19	5E 2	21	NUITS-ST-GEORGE
M	32	F	29	4	1871	21	39	8	0	46N12	5E13	01	ARBENT
M	33	F	11	7	1835	7	34	8	0	48N10	6E28	88	AMEUVELLE
M	34	F	16	1	1861	13	52	32	0	46N17	1E52	23	CHAMBON-S/VOUEI
M	35	F	30	8	1864	12	37	8	0	45N11	5E43	38	VOREPPE
M	36	F	17	6	1819	21	51	28	0	48N50	2E 8	78	VERSAILLES
M	37	F	28	2	1860	12	59	12	0	48N 1	0E12	72	LE MANS
M	38	F	12	6	1817	2	42	32	0	48N57	4E22	51	ST-REMY-S/BUSSY
M	39	F	4	12	1851	16	18	0	0	36N47	3E 0	ALG	ALGER
M	40	F	10	12	1845	6	37	8	0	45N11	5E43	38	GRENOBLE
M	41	F	24	7	1804	18	55	0	0	45N50	1E15	87	BELLAC
M	42	F	11	5	1918	15	0	0	0	43N37	1E26	31	TOULOUSE
M	43	F	21	4	1878	2	48	56	0	50N18	2E46	62	ARRAS
M	44	F	7	3	1842	21	37	8	0	45N11	5E43	38	SASSENAGE
M	45	F	19	10	1821	18	57	4	0	45N11	0E44	24	PERIGUEUX
M	46	F	7	8	1889	3	16	24	0	48N 0	4W 6	29	BREST
M	47	F	30	10	1857	20	48	20	0	42N42	2E55	66	PERPIGNAN
M	48	F	20	1	1856	19	18	0	0	36N47	3E 0	ALG	ALGER
M	49	F	28	9	1879	5	43	40	0	48N18	4E 5	10	COMYNE
M	50	F	8	9	1821	4	45	32	0	49N34	3E37	02	LAON
M	51	F	18	12	1856	14	4	40	0	46N 9	1W10	17	LA ROCHELLE
M	52	F	19	2	1822	7	34	8	0	48N10	6E28	88	POITIERS
M	53	F	30	8	1810	12	59	40	0	43N14	0E 5	65	MAUBOURGUET
M	54	F	28	4	1849	19	36	0	0	44N33	6E 0	05	METZ
M	55	F	6	9	1837	7	5	16	0	49N 7	6E11	57	THIONVILLE
M	56	F	7	3	1886	1	59	12	0	48N 1	0E12	72	LE MANS
M	57	F	10	5	1895	14	50	40	0	44N27	1E26	46	SOTURAC
M	58	F	30	6	1857	3	35	16	0	49N 7	6E11	57	HESTROFF
M	59	F	4	2	1811	18	42	36	0	43N51	4E21	30	NIMES
M	60	F	30	11	1844	10	53	16	0	46N49	1E41	36	POMMIERS
M	61	F	24	1	1848	21	52	24	0	47N54	1E54	45	CHATEAUNEUF-S/L
M	62	F	20	11	1874	3	4	20	0	49N 7	1W 5	50	CHERBOURG
M	63	F	27	3	1844	0	35	24	0	47N37	6E 9	70	BLONDEFONTAINE
M	64	F	2	10	1852	8	55	0	0	45N50	1E15	87	LIMOGES
M	65	F	28	1	1832	9	35	16	0	49N 7	6E11	57	THIONVILLE
M	66	F	3	6	1844	7	2	8	0	47N28	0W32	49	SAUMUR
M	67	F	13	2	1832	5	35	12	0	48N42	6E12	54	SAINT-CLEMENT
M	68	F	7	9	1854	13	39	20	0	48N46	5E10	55	BUXIERES-S/S-LE
M	69	F	12	11	1874	17	29	20	0	45N39	0E10	16	MONTHIERS
M	70	F	9	2	1884	9	34	40	0	46N 9	1W10	17	SURGERES
M	71	F	27	7	1873	22	57	36	0	44N50	0W34	33	CREON
M	72	F	29	7	1809	18	47	24	0	46N59	3E 9	58	LA CHARITE-S/LO
M	73	F	4	11	1894	10	50	40	0	43N51	4E21	30	ALES
M	74	F	9	1	1804	11	46	0	0	44N31	3E30	48	MALZIEU-VILLE
M	75	F	29	12	1871	13	34	8	0	43N32	6E28	83	TOULON
M	76	F	14	2	1853	5	12	32	0	48N57	4E22	51	VITRY-LE-FRANCO
M	77	F	28	10	1809	0	49	44	0	44N21	2E34	12	RIGNAC
M	78	F	13	2	1817	15	43	40	0	48N18	4E 5	10	NOGENT-S/SEINE
M	79	F	1	12	1871	11	21	28	0	48N50	2E 8	78	ST-GERMAIN-EN-LA
M	80	F	28	10	1845	13	1	48	0	46N19	0W27	79	NIORT
M	81	F	20	2	1858	20	48	20	0	42N42	2E55	66	ESTAGEL
M	82	F	26	7	1844	5	35	12	0	48N42	6E12	54	NANCY
M	83	F	10	1	1810	3	47	24	0	46N59	3E 9	58	NEVERS
