PRO	NUM	COU	DAY	MON	YEA	H	MN	SEC	TZ	LAT	LON	COD	CITY
P	1	F	30	10	1853	15	50	40	0	48N36	2E20	91	ETAMPES
P	2	F	28	5	1873	9	50	4	0	48N47	2E29	94	LAVARENNESTHILA
P	3	F	15	1	1881	7	47	40	0	45N47	3E 5	63	CLERMONT-FERRAND
P	4	F	17	4	1807	10	37	8	0	45N11	5E43	38	VOREPPE
P	5	F	24	8	1865	18	51	16	0	48N50	2E11	92	ASNIERES
P	6	F	8	7	1865	5	5	24	0	47N37	6E 9	70	LUXEUIL
P	7	F	29	8	1843	7	47	40	0	50N39	3E 5	59	LILLE
P	8	F	23	2	1819	15	34	8	0	43N32	6E28	83	TOULON
P	9	F	5	3	1883	5	2	16	0	43N40	0E36	32	EAUZE
P	10	F	21	8	1887	9	57	36	0	44N50	0W34	33	BORDEAUX
P	11	F	11	10	1878	2	57	36	0	44N50	0W34	33	BORDEAUX
P	12	F	19	8	1890	20	49	20	0	48N33	2E40	77	FONTAINEBLEAU
P	13	F	12	8	1867	21	39	28	0	48N 7	5E 8	52	LANGRES
P	14	F	17	6	1878	0	32	8	0	47N28	0W32	49	CHATEAUNEUFSSAR
P	15	F	24	3	1859	6	2	8	0	47N28	0W32	49	ANGERS
P	16	F	19	3	1833	11	50	40	0	48N50	2E20	75	PARIS
P	17	F	16	1	1907	19	50	40	0	41N55	8E44	20	AJACCIO
P	18	F	12	3	1802	1	50	36	0	43N12	2E21	11	CASTELNAUDARY
P	19	F	27	1	1861	12	34	8	0	43N32	6E28	83	TOULON
P	20	F	19	4	1854	10	55	40	0	49N26	1E 5	76	CRIQUETOTSOUVIL
P	21	F	26	1	1861	9	25	16	0	49N 1	1E11	27	ETREPAGNY
P	22	F	7	3	1817	3	52	24	0	47N54	1E54	45	ORLEANS
P	23	F	13	7	1895	0	50	40	0	48N57	4E22	51	CHALONS-S-MARNE
P	24	F	29	12	1814	1	2	8	0	47N28	0W32	49	ANGERS
P	25	F	21	11	1835	16	37	48	0	46N40	5E33	39	LONSLESAUNIER
P	26	F	6	11	1846	21	42	36	0	43N51	4E21	30	NIMES
P	27	F	24	6	1882	2	52	24	0	47N54	1E54	45	ORLEANS
P	28	F	30	8	1864	18	2	16	0	43N40	0E36	32	LISLEJOURDAIN
P	29	F	20	2	1833	2	2	8	0	47N28	0W32	49	ANGERS
