PRO	NUM	COU	DAY	MON	YEA	H	MN	SEC	TZ	LAT	LON	COD	CITY
A	1	F	4	10	1848	8	50	40	0	48N50	2E20	75	PARIS
A	2	F	16	2	1831	11	40	40	0	45N46	4E50	69	LYON
A	3	F	4	11	1808	11	40	40	0	45N46	4E50	69	LYON
A	4	F	4	4	1908	15	50	40	0	48N50	2E11	92	ASNIERES
A	5	F	31	10	1943	1	0	0	-1	36N56	14E37	I	COMISO
A	6	F	15	12	1943	13	0	0	0	46N40	5E33	39	POLIGNY
A	7	F	18	9	1832	12	41	4	0	49N46	4E44	08	SEDAN
A	8	F	15	5	1845	22	20	40	0	48N50	2E20	75	PARIS
A	9	F	15	5	1925	22	15	0	0	47N38	6E52	90	BELFORT
A	10	F	20	10	1805	10	54	16	0	43N37	1E26	31	TOULOUSE
A	11	F	23	2	1847	18	55	40	0	49N26	1E 5	76	ROUEN
A	12	F	31	12	1865	6	55	40	0	49N26	1E 5	76	ROUEN
A	13	F	14	3	1893	14	20	40	0	46N35	0E20	86	CHATELLERAULT
A	14	F	22	12	1885	7	42	32	0	48N57	4E22	51	REIMS
A	15	F	3	12	1889	10	40	40	0	43N57	4E50	84	CARPENTRAS
A	16	F	1	10	1929	15	0	0	0	46N40	5E33	39	LONS-LE-SAUNIER
A	17	F	1	4	1929	19	0	0	0	44N50	0W34	33	BORDEAUX
A	18	F	22	6	1802	22	50	40	0	48N50	2E20	75	PARIS 8E
A	19	F	14	8	1932	15	40	0	0	48N50	2E11	92	LEVALLOIS-PERRET
A	20	F	23	1	1907	20	50	40	0	43N18	5E22	13	MARSEILLE
A	21	F	16	11	1842	15	35	12	0	48N42	6E12	54	DOMBASLE
A	22	F	12	2	1917	1	30	0	0	49N 7	1W 5	50	COUTAINVILLE
A	23	F	5	8	1914	6	0	0	0	43N18	5E22	13	MARSEILLE
A	24	F	25	11	1797	0	50	40	0	48N50	2E20	75	PARIS
A	25	F	24	2	1820	10	40	40	0	46N18	4E50	71	CHAROLLES
A	26	F	31	1	1858	22	55	0	0	45N50	1E15	87	LIMOGES
A	27	F	22	8	1882	9	30	56	0	43N42	7E16	06	NICE
A	28	F	15	2	1815	0	45	40	0	47N48	3E35	89	VELLERAT
A	29	F	9	4	1907	4	50	40	0	45N11	5E43	38	VIENNE
A	30	F	22	11	1928	2	30	0	0	47N40	2W44	56	LORIENT
A	31	F	11	10	1893	6	50	40	0	49N26	1E 5	76	ELBOEUF
A	32	F	15	5	1898	2	50	40	0	48N50	2E11	92	COURBEVOIE
A	33	F	17	7	1881	17	38	32	0	43N18	5E22	13	MARSEILLE
A	34	F	14	7	1819	20	2	8	0	47N28	0W32	49	MONTREUIL-BELLA
A	35	F	10	3	1933	5	30	0	0	47N15	6E 2	25	BESANCON
A	36	F	4	5	1917	12	30	0	0	45N54	6E 7	74	THONON-LES-BAIN
A	37	F	9	6	1931	12	30	0	0	36N30	6E15	ALG	CONSTANTINE
A	38	F	7	9	1819	19	35	16	0	49N 7	6E11	57	METZ
A	39	F	19	1	1925	12	30	0	0	43N57	4E50	84	AVIGNON
A	40	F	23	10	1899	6	50	40	0	50N39	3E 5	59	LILLE
A	41	F	11	8	1831	20	4	20	0	49N 7	1W 5	50	COUTANCE
A	42	F	20	5	1927	2	0	0	0	48N50	2E 8	78	ST-GERMAIN-EN-LA
A	43	F	23	11	1919	21	0	0	0	45N50	1E15	87	ST-SULPICE-LAUR
A	44	F	26	10	1922	17	0	0	0	42N42	2E55	66	PERPIGNAN
A	45	F	21	12	1911	3	0	0	0	43N18	5E22	13	MARSEILLE
A	46	F	19	6	1930	13	0	0	0	45N11	5E43	38	BOURG-D'OISANS
A	47	F	19	11	1927	4	45	0	0	43N37	3E53	34	BEZIERS
A	48	F	14	9	1922	12	15	0	-1	50N21	7E35	G	KOBLENZ
A	49	F	15	8	1821	9	55	40	0	49N26	1E 5	76	ELBEUF
A	50	F	9	9	1878	21	51	16	0	48N50	2E11	92	SEVRES
A	51	F	22	3	1880	17	57	28	0	44N12	0E38	47	PORT-STE-MARIE
A	52	F	25	1	1853	10	3	0	0	48N 4	0W45	53	OISSEAU
A	53	F	1	3	1915	1	0	0	0	46N 9	1W10	17	ST-GEORGES-DE-D
A	54	F	20	7	1911	13	0	0	0	43N45	7E25	MON	MONTE-CARLO
A	55	F	26	2	1872	2	50	40	0	48N50	2E20	75	PARIS 10E
A	56	F	26	5	1911	5	0	0	0	45N46	4E50	69	VILLEFRANCHE-S/
A	57	F	8	3	1848	5	50	40	0	48N50	2E20	75	PARIS
A	58	F	23	4	1927	2	30	0	0	49N 1	1E11	27	DRUCOURT
A	59	F	2	9	1910	5	50	40	0	48N42	6E12	54	NANCY
A	60	F	28	9	1934	12	15	0	0	48N50	2E20	75	PARIS 15E
A	61	F	1	5	1917	7	0	0	0	43N42	7E16	06	LANTOSQUES
A	62	F	22	4	1855	14	40	40	0	43N57	4E50	84	AVIGNON
A	63	F	20	4	1883	23	31	28	0	49N11	0W22	14	VILLERS-S/M
A	64	F	11	3	1916	14	0	0	0	43N37	3E53	34	SETE
A	65	F	11	6	1820	22	39	8	0	46N12	5E13	01	MEXIMIEUX
A	66	F	21	9	1888	3	54	16	0	43N37	1E26	31	TOULOUSE
A	67	F	8	9	1910	5	50	40	0	48N50	2E 8	78	LE VESINET
A	68	F	14	4	1819	0	50	40	0	48N50	2E20	75	PARIS
A	69	F	25	8	1911	19	30	0	0	48N27	1E30	28	NOGENT-LE-ROTROU
A	70	F	18	11	1935	10	0	0	0	47N40	2W44	56	LA TRINITE-S-MER
A	71	F	16	2	1857	17	44	28	0	43N37	3E53	34	MUDAISON
A	72	F	8	6	1880	10	20	40	0	48N50	2E20	75	PARIS 12E
A	73	F	31	8	1861	2	50	40	0	48N50	2E20	75	PARIS 14E
A	74	F	4	3	1921	8	30	0	0	46N18	4E50	71	MONTCEAU-LES-MI
A	75	F	25	3	1870	15	51	16	0	48N50	2E11	92	COLOMBES
A	76	F	3	3	1900	19	50	40	0	43N37	3E53	34	MONTPELLIER
A	77	F	13	8	1852	19	50	40	0	48N50	2E20	75	PARIS
A	78	F	13	10	1801	17	52	24	0	47N54	1E54	45	PITHIVIERS
A	79	F	28	1	1841	23	20	40	0	48N50	2E20	75	PARIS
A	80	F	24	10	1927	23	0	0	0	43N32	6E28	83	TOULON
A	81	F	16	6	1879	9	29	0	-1	48N35	7E45	67	HOCHFELDEN
A	82	F	8	1	1820	17	50	40	0	48N50	2E20	75	PARIS
A	83	F	5	9	1818	22	50	40	0	48N50	2E20	75	PARIS
A	84	F	13	3	1801	21	55	40	0	49N26	1E 5	76	ROUEN
A	85	F	17	5	1833	11	50	40	0	48N50	2E20	75	PARIS
A	86	F	21	7	1938	13	15	0	0	48N50	2E11	92	NEUILLY
A	87	F	26	2	1889	3	52	0	0	49N 0	2E 0	95	SANNOIS
A	88	F	21	9	1898	5	50	40	0	44N27	1E26	46	VILLENEUVE-S/LO
A	89	F	21	7	1896	22	50	40	0	49N11	0W22	14	TOUQUES
A	90	F	9	2	1883	20	58	40	0	46N35	0E20	86	POITIERS
A	91	F	4	10	1887	13	47	40	0	45N47	3E 5	63	BERCK-S-MER
A	92	F	27	12	1880	5	7	24	0	47N54	1E54	45	ORLEANS
A	93	F	19	6	1910	5	50	40	0	36N47	3E 0	ALG	ALGER
A	94	F	14	12	1828	9	42	28	0	45N26	4E23	42	PANISSIERES
A	95	F	23	1	1928	21	30	0	0	48N42	6E12	54	PONT-A-MOUSSON
A	96	F	17	2	1903	0	50	40	0	49N26	1E 5	76	ROUEN
A	97	F	24	10	1891	23	40	40	0	50N39	3E 5	59	LILLE
A	98	F	24	3	1919	4	0	0	0	43N18	5E22	13	GREASQUE
A	99	F	12	9	1891	7	50	40	0	43N57	4E50	84	AVIGNON
A	100	F	16	3	1892	10	5	40	0	48N26	0E 5	61	TINCHEBRAY
A	101	F	5	4	1832	0	50	40	0	48N50	2E20	75	PARIS
A	102	F	1	3	1899	13	50	40	0	43N57	4E50	84	AVIGNON
A	103	F	30	7	1928	7	0	0	0	36N47	3E 0	ALG	ALGER
A	104	F	9	5	1822	18	50	40	0	48N50	2E20	75	PARIS
A	105	F	14	9	1848	23	10	24	0	44N56	4E54	26	VALENCE
A	106	F	24	9	1849	4	50	40	0	48N50	2E20	75	PARIS
A	107	F	24	6	1902	4	50	40	0	43N18	5E22	13	MARSEILLE
A	108	F	20	10	1871	22	38	32	0	43N18	5E22	13	MARSEILLE
A	109	F	22	3	1907	19	50	40	0	48N50	2E11	92	NEUILLY
A	110	F	7	11	1799	18	55	40	0	49N26	1E 5	76	ROUEN
A	111	F	19	4	1841	9	51	16	0	48N50	2E11	92	VILLE-D AVRAY
A	112	F	15	9	1914	20	30	0	0	46N40	1W25	85	SABLES-D'OLONNE
A	113	F	26	2	1840	8	40	40	0	43N57	4E50	84	MONTEUX
A	114	F	18	8	1884	13	48	20	0	42N42	2E55	66	PERPIGNAN
A	115	F	14	9	1868	3	11	0	0	48N31	2W45	22	DINAN
A	116	F	15	9	1847	7	43	40	0	48N18	4E 5	10	TROYES
A	117	F	23	2	1877	3	55	40	0	49N26	1E 5	76	ROUEN
A	118	F	23	5	1843	1	57	28	0	44N12	0E38	47	NERAC
A	119	F	4	9	1800	12	50	40	0	48N50	2E20	75	PARIS
A	120	F	11	5	1904	21	20	40	0	49N26	1E 5	76	NOINTOT
A	121	F	1	1	1866	15	35	24	0	47N37	6E 9	70	DAMPIERRE-S/SAL
A	122	F	6	4	1916	18	30	0	0	47N13	1W35	44	LEGE
A	123	F	5	6	1848	7	51	16	0	48N50	2E11	92	MONTROUGE
A	124	F	8	6	1922	23	40	0	0	49N 1	1E11	27	LES ANDELYS
A	125	F	27	7	1917	10	30	0	0	49N26	1E 5	76	PRETOT-VICQUEMA
A	126	F	11	10	1864	21	47	24	0	46N59	3E 9	58	NEVERS
A	127	F	28	8	1899	17	5	40	0	44N27	1E26	46	FIGEAC
A	128	F	20	1	1876	4	57	36	0	44N50	0W34	33	LEOGNAN
A	129	F	1	11	1842	21	35	16	0	49N 7	6E11	57	SAARELOUIS
A	130	F	1	4	1851	0	50	40	0	48N50	2E20	75	PARIS
A	131	F	22	10	1921	17	0	0	0	43N37	3E53	34	SETE
A	132	F	22	12	1905	21	20	40	0	48N50	2E20	75	PARIS 17E
A	133	F	6	1	1852	2	50	40	0	48N50	2E20	75	PARIS
A	134	F	19	8	1880	13	52	24	0	47N54	1E54	45	SERMAISES
A	135	F	23	10	1815	6	40	40	0	46N18	4E50	71	CHALON-S/SAONE
A	136	F	23	8	1911	4	0	0	0	46N35	0E20	86	CHATELLERAULT
A	137	F	8	3	1923	11	45	0	0	47N24	0E42	37	TOURS
A	138	F	26	10	1893	16	50	40	0	49N34	3E37	02	LA FERE
A	139	F	28	8	1846	5	50	40	0	48N50	2E20	75	PARIS
A	140	F	5	3	1798	11	42	32	0	48N57	4E22	51	CHAUMONT-S/MARN
A	141	F	12	3	1893	9	50	40	0	47N13	1W35	44	NANTES
A	142	F	2	12	1824	22	50	40	0	48N50	2E20	75	PARIS
A	143	F	29	1	1807	9	55	16	0	49N 1	1E11	27	VERNON
A	144	F	6	5	1851	0	52	24	0	47N54	1E54	45	COURTENAY
A	145	F	14	10	1837	1	20	40	0	48N50	2E20	75	PARIS
A	146	F	3	10	1879	17	47	24	0	46N59	3E 9	58	PREMERY
A	147	F	3	11	1907	20	50	40	0	49N 1	1E11	27	IVRY-LA-BATAILL
A	148	F	6	6	1830	15	50	40	0	48N50	2E20	75	PARIS
A	149	F	23	9	1925	21	25	0	0	48N36	2E20	91	ATHIS-MONS
A	150	F	2	7	1908	15	50	40	0	45N16	1E46	19	BORT-LES-ORGUES
A	151	F	1	7	1858	14	20	40	0	48N50	2E20	75	PARIS
A	152	F	16	5	1920	15	0	0	0	48N47	2E29	94	SAINT MANDE
A	153	F	1	7	1931	22	0	0	0	48N50	2E11	92	BOULOGNE-BILL
A	154	F	22	6	1852	11	29	0	0	48N35	7E45	67	STRASBOURG
A	155	F	16	5	1906	9	20	40	0	48N 7	5E 8	52	JOINVILLE
A	156	F	13	11	1922	1	0	0	0	46N34	3E20	03	MOULINS
A	157	F	15	1	1925	21	45	0	0	48N50	2E11	92	ASNIERES
A	158	F	20	1	1922	1	0	0	0	44N50	0W34	33	GUJAN-MESTRAS
A	159	F	9	2	1897	15	50	40	0	48N50	2E 8	78	ST-GERMAIN-EN-LA
A	160	F	24	2	1906	10	50	40	0	46N19	0W27	79	LEZAY
A	161	F	29	11	1923	6	0	0	0	45N54	6E 7	74	BONNEVILLE
A	162	F	28	11	1897	6	50	40	0	48N33	2E40	77	FONTAINEBLEAU
A	163	F	29	11	1909	1	50	40	0	48N55	2E30	93	BAGNOLET
